epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.042562045,6.653871140189475,1e-05,0.27359346,5.8549431661945075
1,0.38341153,5.4547014648246614,1.8e-05,0.71517694,3.4337476163953813
2,0.6844986,3.447844521137281,2.6e-05,0.8658122,1.1953523057697175
3,0.83409,1.675330075925431,3.4e-05,0.9420372,0.37329404605400435
4,0.8979898,0.9356295660163875,4.2e-05,0.97050816,0.16184252472024452
5,0.92560786,0.6833484313817006,5e-05,0.9785617,0.10430237885190785
6,0.93810534,0.5652109356901494,4.2e-05,0.98355263,0.07693490622696052
7,0.9447892,0.5074814246429331,3.56e-05,0.9850272,0.07075955281343901
8,0.94752574,0.46553254493202995,3.048e-05,0.9865018,0.062270763403469154
9,0.95018667,0.4406253389160412,2.6384e-05,0.9876361,0.05934977858201347
10,0.95297366,0.41068026712204686,2.31072e-05,0.98843014,0.05255416976343356
11,0.9529863,0.4006141279640388,2.048576e-05,0.98752266,0.053214857848861735
12,0.9543735,0.3868121419607389,1.8388608e-05,0.98888385,0.05293500998855572
13,0.9550671,0.37079159999131023,1.6710886e-05,0.9889973,0.05094916776668741
14,0.95548326,0.3719973568341285,1.5368709e-05,0.99013156,0.04879049132494537
15,0.957501,0.35494289351141695,1.42949675e-05,0.9903584,0.04937406311631735
16,0.95607597,0.35842370114743777,1.3435973e-05,0.98967785,0.04897485709708271
17,0.9582577,0.34577740848944255,1.2748779e-05,0.9903584,0.04726752181209093
18,0.9570975,0.33993556554502063,1.2199023e-05,0.99069875,0.04734610515648955
19,0.95936745,0.33075132824232917,1.1759219e-05,0.99047184,0.04704217277614447
20,0.9592287,0.32811837029872104,1.1407375e-05,0.99013156,0.04513679695151783
21,0.9580811,0.3308831465688734,1.11259e-05,0.9903584,0.0456633489997847
22,0.95907736,0.32384877748259217,1.090072e-05,0.99013156,0.0456865914788748
23,0.9593296,0.3226534079168776,1.0720576e-05,0.99013156,0.04503170660170876
24,0.9580937,0.32296477032884596,1.0576461e-05,0.990245,0.04657962308216283
25,0.95867383,0.31531432262270226,1.0461169e-05,0.9908122,0.044918563248380124
26,0.9588252,0.31431870315633753,1.0368934e-05,0.99069875,0.04349149620036574
27,0.9587873,0.31380377034668155,1.0295148e-05,0.9912659,0.044509708594225754
28,0.95912784,0.3090819091498518,1.0236118e-05,0.99069875,0.044020045814592096
29,0.9582829,0.31095809546904657,1.01888945e-05,0.9900181,0.04372954917912829
30,0.95948094,0.30282266509966077,1.0151116e-05,0.989451,0.04627061787130463
31,0.9604772,0.2990505202535053,1.01208925e-05,0.99103904,0.0443168395313565
